doi,title,pdf_local
10.1155/2021/9966744,MicroRNA-552 Accelerates the Progression of Gastric Cancer by Targeting FOXO1 and Regulating PI3K/AKT Pathway,sí
10.1002/cam4.3755,Methylation status and long‐fragment cell‐free DNA are prognostic biomarkers for gastric cancer,sí
10.1159/000512502,ctDNA in Neuroendocrine Carcinoma of Gastroenteropancreatic Origin or of Unknown Primary: The CIRCAN-NEC Pilot Study,sí
10.1080/1354750X.2023.2206984,CircRNA CDR1as: a novel diagnostic and prognostic biomarker for gastric cancer,no
10.3343/alm.2023.0391,Next-Generation Sequencing-Based Molecular Profiling Using Cell-Free DNA: A Valuable Tool for the Diagnostic and Prognostic Evaluation of Patients With Gastric Cancer,sí
10.1186/s40364-023-00524-2,Multi-faceted attributes of salivary cell-free DNA as liquid biopsy biomarkers for gastric cancer detection,sí
10.1186/s40364-023-00542-0,Correction: Multi-faceted attributes of salivary cell-free DNA as liquid biopsy biomarkers for gastric cancer detection,sí
10.21203/rs.3.rs-3154388/v1,Multi-Faceted Attributes of Salivary Cell-free DNA as Liquid Biopsy Biomarkers for Gastric Cancer Detection,sí
10.1159/000520359,Cancer Comprehensive Analysis in Gastric Carcinoma: Benefits and New Perspectives,sí
10.1016/j.lfs.2023.121387,Exosomal LINC00355 promotes the malignant progression of gastric cancer through histone deacetylase HDAC3-mediated TP53INP1 transcriptional inhibition.,sí
10.1002/jcla.24520,miR‐548d‐3p inhibits the invasion and migration of gastric cancer cells by targeting GKN1,sí
10.3892/ol.2023.13864,MicroRNA‑153 may act as a potential biomarker and prognostic indicator of patients with gastric cancer,sí
10.3892/ol.2021.12776,MicroRNA-383-5p predicts favorable prognosis and inhibits the progression of diffuse large B-cell lymphoma.,sí
10.1038/s41420-022-00925-6,Gastric cancer cell-derived extracellular vesicles elevate E2F7 expression and activate the MAPK/ERK signaling to promote peritoneal metastasis through the delivery of SNHG12,sí
10.3389/fmolb.2022.857320,Identification of circRNA Biomarker for Gastric Cancer through Integrated Analysis,sí
10.3389/fmolb.2023.1249019,Corrigendum: Identification of circRNA biomarker for gastric cancer through integrated analysis,sí
10.3748/wjg.v28.i6.653,Atrophic gastritis and gastric cancer tissue miRNome analysis reveals hsa-miR-129-1 and hsa-miR-196a as potential early diagnostic biomarkers,sí
10.1186/s12967-022-03853-2,Circular RNA 0001789 sponges miR-140-3p and regulates PAK2 to promote the progression of gastric cancer,sí
10.5152/tjg.2021.20832,Fragmentation Analysis of Plasma DNA Reveals Its Prognostic Value in Gastric Cancer.,sí
10.1038/s41419-021-04446-5,Tumor-derived extracellular vesicles shuttle c-Myc to promote gastric cancer growth and metastasis via the KCNQ1OT1/miR-556-3p/CLIC1 axis,sí
10.3892/ol.2021.13166,lncRNA GAS8-AS1 regulates cancer cell proliferation and predicts poor survival of patients with gastric cancer.,sí
10.1186/s12935-021-01827-w,LncRNA HOXA-AS3 promotes gastric cancer progression by regulating miR-29a-3p/LTβR and activating NF-κB signaling,sí
10.32604/or.2023.029101,The SMAD2/miR-4256/HDAC5/p16INK4a signaling axis contributes to gastric cancer progression,sí
10.18632/aging.203197,Hsa-miR-30a-3p attenuates gastric adenocarcinoma proliferation and metastasis via APBB2,sí
10.18632/aging.204512,Comparison of the mutation patterns between tumor tissue and cell-free DNA in stage IV gastric cancer,sí
10.1016/j.cellsig.2023.110699,"m6A reader YTHDF3 is associated with clinical prognosis, related RNA signatures and immunosuppression in gastric cancer.",sí
10.3389/fonc.2024.1481266,MicroRNA-582-5p inhibits the progression of gastric cancer cells and their resistance to oxaliplatin by suppressing ATG7 expression,sí
10.1186/s12885-023-11373-5,Exosomes-mediated transfer of LINC00691 regulates the formation of CAFs and promotes the progression of gastric cancer,sí
10.21037/tcr-21-994,MiRNA-339 targets and regulates ZNF689 to inhibit the proliferation and invasion of gastric cancer cells,sí
10.3892/mmr.2022.12703,Dynamic detection of HER2 of circulating tumor cells in patients with gastric carcinoma and its clinical application.,sí
10.1016/j.yexcr.2024.113948,Identification of necroptosis-associated miRNA signature for predicting prognosis and immune landscape in stomach adenocarcinoma.,sí
10.1186/s12935-020-01701-1,"As a biomarker for gastric cancer, circPTPN22 regulates the progression of gastric cancer through the EMT pathway",sí
10.1016/j.clinre.2020.08.001,MiR-142 suppresses progression of gastric carcinoma via directly targeting LRP8.,sí
10.1186/s13148-020-00989-0,Identification and validation of methylated differentially expressed miRNAs and immune infiltrate profile in EBV-associated gastric cancer,sí
10.3389/fonc.2023.1195837,Case Report: A rare synchronous multiple gastric carcinoma achieved progression-free disease through NGS-guided serial treatment,sí
10.1177/11772719221141525,Advantages and Limitations of Monitoring Circulating Tumor DNA Levels to Predict the Prognosis of Patients Diagnosed With Gastric Cancer,sí
10.1093/jb/mvac003,Circ_0000190 sponges miR-382-5p to suppress cell proliferation and motility and promote cell death by targeting ZNRF3 in gastric cancer.,sí
10.3343/alm.2023.0187,Identification of Potential Genomic Alterations Using Pan-Cancer Cell-Free DNA Next-Generation Sequencing in Patients With Gastric Cancer,sí
10.3389/fmolb.2023.1163977,Comprehensive analysis to construct a novel immune-related prognostic panel in aging-related gastric cancer based on the lncRNA‒miRNA-mRNA ceRNA network,sí
10.3892/mmr.2020.11698,Long non-coding RNA JPX promotes gastric cancer progression by regulating CXCR6 and autophagy via inhibiting miR-197,sí
10.1186/s13000-020-01063-2,High miR-324-5p expression predicts unfavorable prognosis of gastric cancer and facilitates tumor progression in tumor cells,sí
10.1371/journal.pone.0289082,In silico analysis and experimental validation shows negative correlation between miR-1183 and cell cycle progression gene 1 expression in colorectal cancer,sí
10.21873/cgp.20362,"Rab27b, a Regulator of Exosome Secretion, Is Associated With Peritoneal Metastases in Gastric Cancer",sí
10.3892/ol.2021.13069,MicroRNA-135a expression is upregulated in hepatocellular carcinoma and targets long non-coding RNA TONSL-AS1 to suppress cell proliferation,sí
10.3892/ol.2021.12717,Integrative analysis of the gastric cancer long non-coding RNA-associated competing endogenous RNA network,sí
10.1186/s41065-022-00257-6,Comprehensive analysis to identify pseudogenes/lncRNAs-hsa-miR-200b-3p-COL5A2 network as a prognostic biomarker in gastric cancer,sí
10.3892/ol.2021.12608,High expression of microRNA-1266 in hepatocellular carcinoma is associated with poor prognosis of patients and biological cell growth.,sí
10.56434/j.arch.esp.urol.20227504.49,The prognostic value of miR-487a in clear cell renal cell carcinoma and its influence on cell biological behavior.,no
10.1007/s10120-021-01267-5,miRNAs derived from plasma small extracellular vesicles predict organo-tropic metastasis of gastric cancer,sí
10.18632/aging.205965,"Identification and validation of key genes in gastric cancer: insights from in silico analysis, clinical samples, and functional assays",sí
10.1016/j.yexcr.2021.112553,MicroRNA-28-5p Acts as a Metastasis Suppressor in Gastric Cancer by Targeting Nrf2.,sí
10.1016/j.yexcr.2021.112616,"Corrigendum to ""sMicroRNA-28-5p acts as a metastasis suppressor in gastric cancer by targeting Nrf2"".",no
10.3892/ol.2020.12294,"miR-4636 inhibits tumor cell proliferation, migration and invasion, and serves as a candidate clinical biomarker for gastric cancer",sí
10.1615/CritRevEukaryotGeneExpr.2020037354,"Effects of miR-362 in Regulating the Proliferation, Invasion and Apoptosis of Gastric Cancer by Inhibiting the Expression of Tumor-Promoting Factor PRDM2.",no
10.3892/mmr.2020.11577,"lncRNA VIM-AS1 promotes cell proliferation, metastasis and epithelial-mesenchymal transition by activating the Wnt/β-catenin pathway in gastric cancer",sí
10.3390/ijms22147244,MSI Analysis in Solid and Liquid Biopsies of Gastroesophageal Adenocarcinoma Patients: A Molecular Approach,sí
10.1002/1878-0261.12911,LncRNA NKX2‐1‐AS1 promotes tumor progression and angiogenesis via upregulation of SERPINE1 expression and activation of the VEGFR‐2 signaling pathway in gastric cancer,sí
10.7717/peerj.11146,TP53 mutation and MET amplification in circulating tumor DNA analysis predict disease progression in patients with advanced gastric cancer,sí
10.1016/j.prp.2023.154968,MicroRNA Let-7a association with glycolysis-induced autophagy in locally advanced gastric cancer: Their role in prognosis and FLOT chemotherapy resistance.,sí
10.1177/03000605211033185,miR-301-3p directly regulates Cx43 to mediate the development of gastric cancer,sí
10.3892/etm.2021.10294,Long non-coding RNA NEAT1 increases the aggressiveness of gastric cancer by regulating the microRNA-142-5p/JAG1 axis,sí
10.3892/mmr.2021.12339,"Glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 promotes colorectal cancer cell proliferation and metastasis, and is negatively regulated by miR-296-3p",sí
10.3760/cma.j.cn112150-20210130-00093,[Application of next-generation sequencing technology detecting ctDNA in the diagnosis and treatment of gastric cancer].,no
10.7150/jca.58158,"MTFR2, A Potential Biomarker for Prognosis and Immune Infiltrates, Promotes Progression of Gastric Cancer Based on Bioinformatics Analysis and Experiments",sí
10.1080/21655979.2021.1971031,The circular RNA circ0005654 interacts with specificity protein 1 via microRNA-363 sequestration to promote gastric cancer progression,no
10.1016/j.cca.2022.03.010,Identification of Differentially Expressed miRNAs Derived from Serum Exosomes Associated with Gastric Cancer by Microarray Analysis.,sí
10.3390/diagnostics14151614,"Peripherical Blood hsa-miR-335-5p Quantification as a Prognostic, but Not Diagnostic, Marker of Gastric Cancer",sí
10.1159/000515548,Original Article: MicroRNA Dysregulation in the Gastric Carcinogenesis Cascade: Can We Anticipate Its Role in Individualized Care?,sí
10.1016/j.ctarc.2021.100371,The prognostic impact of circulating miRNAs in patients with advanced esophagogastric cancer during palliative chemotherapy.,sí
10.1155/2021/8886897,Integrated Analysis of lncRNA-Associated ceRNA Network Identifies Two lncRNA Signatures as a Prognostic Biomarker in Gastric Cancer,sí
10.2147/OTT.S280912,Long Noncoding RNA CCDC144NL-AS1 Promotes the Oncogenicity of Osteosarcoma by Acting as a Molecular Sponge for microRNA-490-3p and Thereby Increasing HMGA2 Expression,no
10.2147/OTT.S430211,Long Noncoding RNA CCDC144NL-AS1 Promotes the Oncogenicity of Osteosarcoma by Acting as a Molecular Sponge for microRNA-490-3p and Thereby Increasing HMGA2 Expression [Retraction],no
10.1007/s12094-024-03628-9,Association of miR-338-3p with survival outcomes in gastric cancer patients who received peri-operative blood transfusion,sí
